Distrikt,Adresse,Type,Tømningshyppighed,Placering,Andet,northing,easting
Vest,Viby Torv,TipLine,2 gange,på Taxa-skilt,indgang til p-plads - øat,56.12870,10.16325
Vest,Viby Torv,TipLine,2 gange,ved bænk,mod Skanderborgvej - vest,56.12894,10.16336
Vest,Viby Torv,TipLine,2 gange,ved bænk,mod Skanderborgvej - øst,56.12910,10.16365
Vest,Viby Torv,SvingLine,2 gange,ved pøslevogn,,56.12921,10.16417
Vest,Kirkestien,RM 70,2 gange,ved bænk,ved præstebolig,56.12879,10.16457
Vest,Grundtvigsvej 30,Topsy,2 gange,ved p-plads,ved indkørsel,56.12993,10.16980
Vest,Grundtvigsvej 30,lille med huller,2 gange,ved bænk,ved p-plads - vest,56.12998,10.17023
Vest,Grundtvigsvej 30,lille med huller,2 gange,ved bænk,ved p-plads - øst,56.13001,10.17054
Vest,Grundtvigsvej 30,RM 70,2 gange,på stander,ved p-pladsen,56.12994,10.17007
Vest,Carl Jensens Vej 31,Holcher,2 gange,ved busstop,,56.13425,10.18418
Vest,efter Chr. Xs Vej 23,Holcher,2 gange,ved busstop,v/ viadukt mod Skanderborgvej,56.13439,10.17527
Vest,før Chr. Xs Vej 22,Holcher,2 gange,ved busstop,v/ viadukt fra Sknaderborgvej,56.13401,10.17463
Vest,Åbrinkvej / Søren Frichs Vej,RM 70,2 gange,på stander - syd,v/ sti til Ringgadebroen,56.15311,10.18222
Vest,Åbrinkvej / Søren Frichs Vej,RM 70,2 gange,på stander - nord,v/ sti til Ringgadebroen,56.15314,10.18220
Vest,Anker Jensens Vej 6,Holcher,2 gange,bus endestation,buslomme,56.14657,10.15848
Vest,Silkeborgvej / Johs. Ewalds Vej,RM 30,2 gange,ved busstop - øst,,56.15436,10.15308
Vest,sti ved Frydenlund / Viborgvej,RM 30,2 gange,ved trappe,tunnel til Kvickly,56.16387,10.17349
Vest,sti ved Præstevangsvej / Viborgvej,lille med huller,2 gange,på lampe,tunnel / midt på sti,56.16340,10.17354
Vest,Edwin Rahrs Vej / ved Hvedebjergvej 14,Holcher,1 gang,ved busstop,,56.16293,10.12180
Vest,Edwin Rahrs Vej o.f. 42,Holcher,1 gang,ved busstop,,56.16242,10.12580
Vest,Hejredalsvej / Ligustervej 1,RM 512,1 gang,ved busstop,,56.15569,10.12375
Vest,Helenelyst,Holcher,1 gang,bus endestation,,56.15957,10.09244
Vest,Jarlsmindevej / ved Rosendalvej 16,RM 30,1 gang,ved busstop,,56.13485,10.12168
Vest,Ormslevvej / Stavtrupvej,RM 30,1 gang,ved busstop,,56.12832,10.12419
Vest,Louisevej / ved Silkeborgvej,Holcher,1 gang,ved busstop,ved gangsti til tunnelunderfør,56.15260,10.13524
Vest,Louisevej v/ Silkeborgvej,RM 30,1 gang,på stander - syd,gangsti til tunnelunderføring,56.15272,10.13497
Vest,Louisevej / ved Silkeborgvej,RM 512,1 gang,på stander - nord,gangsti til tunnelundersføring,56.15280,10.13480
Vest,Tinesvej / Silkeborgvej 530,Holcher,1 gang,ved busstop,,56.15344,10.13664
Vest,Edwin Rahrs Vej / Bentesvej,Holcher,1 gang,ved busstop,,56.16214,10.13560
Vest,Skjoldhøjvej / stiunderføring,Holcher,1 gang,ved busstop,overfor Skjoldhøjskolen,56.17472,10.11164
Vest,Agerøvej / Bilke,RM 70,2 gange,på stander,buslomme ved endestation,56.18167,10.10800
Vest,Agerøvej / Bilka,Holcher,2 gange,bus endestation,buslomme,56.18189,10.10800
Vest,Agerøvej / Bilka,RM 70,2 gange,på lampe,buslomme ved endestation,56.18202,10.10791
Vest,Agerøvej 7 / Bilka,Holcher,1 gang,ved busstop,ved indkørsel til p-plads,56.18155,10.10531
Vest,Analystvej / Anelystparken,Holcher,1 gang,ved busstop - syd,,56.18164,10.10003
Vest,Skjoldhøjvej / sti  til Drejøvænget,Holcher,1 gang,ved busstop,overfor sti til Drejøvænget,56.17259,10.09699
Vest,Skjoldhøjvej 19 / sti,Holcher,1 gang,ved busstop,overfor sti til Enøvænget,56.17302,10.10438
Vest,Skjoldhøjvej 15 / sti tunnel,Holcher,1 gang,ved busstop,før trappenedgang til underfør,56.17448,10.11105
Vest,Skjoldhøjvej 9,Holcher,1 gang,ved busstop,overfor sti til Orøvænget,56.17491,10.11537
Vest,Jernaldervej ved boldbaner,Holcher,1 gang,ved busstop,,56.17133,10.14662
Vest,Hammershusvej overfor nr 42,RM 30,1 gang,ved bænk,p-plads før bager - nord,56.17301,10.18129
Vest,Hammershusvej overfor nr. 42,RM 70,1 gang,ved bænk,p-plads før bager,56.17289,10.18143
Vest,Viborgvej / Vestre Ringgade,Holcher,2 gange,ved busstop,ved Handelshøjskolen - øst,56.16152,10.18175
Vest,Viborgvej / Vestre Ringgade,Holcher,2 gange,ved busstop,ved Handelshøjskolen - vest,56.16163,10.18140
Vest,Viborgvej / Herredsvej,Holcher,2 gange,ved busstop,på Hasle Torv,56.16762,10.16336
Vest,Gl. Viborgvej 74,RM 30,1 gang,ved busstop,,56.19963,10.06089
Vest,Gl. Viborgvej 7,lille med huller,1 gang,ved busstop,,56.19692,10.06746
Vest,Gl. Viborgvej 23,RM 512,1 gang,ved busstop,skråt overfor Sortevej,56.19045,10.08301
Vest,Gl. Viborgvej / Tilst Vestervej,RM 30,1 gang,ved busstop,ved Frømosevej 3,56.18836,10.08871
Vest,Gl. Viborgvej  / Tilst Vestervej 40,RM 30,1 gang,ved busstop,,56.18810,10.08884
Vest,Tunnel ml. Skovbakkevej og Hovedgaden,RM 512,1 gang,på stander,midt i tunnel under Silkeborgv,56.15400,10.10736
Vest,Langelinie 47,lille med huller,1 gang,ved busstop,ved børnehaven,56.18711,10.01360
Vest,Kettingvej 27,RM 30,1 gang,ved busstop,,56.13970,9.99513
Vest,Kettingvej / Højlundvej 3,lille med huller,1 gang,ved busstop,,56.13805,9.99588
Vest,Skolesti / Næshøjvej,SwingLine,1 gang,ved sti,,56.14584,9.99496
Vest,Næshøjvej v/ 72,RM 30,1 gang,ved busstop,overfor Lokalcenter,56.14378,9.99128
Vest,Næshøjvej v/ skolen,RM 30,1 gang,ved busstop,,56.14472,9.99696
